UPC,System ID,Category Name,Price,QOH,Product ID,URL,Category,Photo,Brand Name,Name,Brand,Short Name,Pets,Size,buy_12_get_1_free
854524005436,210000050603,Dog > Food > Wet Food,3.39,9,10100908_1,https://www.littlepetexpress.com/products/victor-grain-free-turkey-sweet-potato-stew-canned-dog-food-132-oz-case-of-12-2/?case_option=False,Wet Food,['downloaded_images/10100908/10100908_1/fOWNiwTE.png'],Victor,"Victor Grain-Free Turkey & Sweet Potato Stew Canned Dog Food, 13.2-oz",Victor,Grain-Free Turkey & Sweet Potato Stew,Dogs,13.2-oz,Yes
855089008153,210000058552,Dog > Food > Food Toppings > Wet Food Toppings,2.69,10,10100853_1,https://www.littlepetexpress.com/products/the-honest-kitchen-pour-over-bone-broth-chicken-stew-topper-dog-food-2/?case_option=False,"Broth, Wet Food Toppings",['downloaded_images/10100853/10100853_1/image_58794.jpeg'],The Honest Kitchen,"The Honest Kitchen Bone Broth Pour Overs Chicken Stew Dog Food Topper, 5.5-oz",The Honest Kitchen,Bone Broth Pour Overs Chicken Stew,Dogs,5.5-oz,Yes
855089008177,210000058558,Dog > Food > Food Toppings > Wet Food Toppings,2.69,10,10100852_1,https://www.littlepetexpress.com/products/the-honest-kitchen-pour-over-bone-broth-beef-topper-dog-food-2/?case_option=False,"Broth, Wet Food Toppings",['downloaded_images/10100852/10100852_1/image_58800.jpeg'],The Honest Kitchen,"The Honest Kitchen Bone Broth Pour Overs Beef Stew Dog Food Topper, 5.5-oz",The Honest Kitchen,Bone Broth Pour Overs Beef Stew,Dogs,5.5-oz,Yes
073893265030,210000054717,Dog > Food > Dry Food,19.79,0,10100632_1,https://www.littlepetexpress.com/products/nutrisource-senior-chicken-and-rice-dry-dog-food-6/?case_option=False,Dry Food,['downloaded_images/10100632/10100632_1/OS3fh15g.jpeg'],NutriSource,"NutriSource Senior Chicken & Rice Recipe with Wholesome Grains Dry Dog Food, 5-lb",NutriSource,Senior Chicken & Rice Recipe with Wholesome Grains,Dogs,5-lb,No
073893266037,210000054728,Dog > Food > Dry Food,48.69,0,10100626_2,https://www.littlepetexpress.com/products/nutrisource-adult-lamb-and-rice-dry-dog-food-3/?case_option=False,Dry Food,['downloaded_images/10100626/10100626_2/NutriSource_Adult_Lamb_and_Rice_Dry_Dog_Food.jpeg'],NutriSource,"NutriSource Lamb Meal & Rice Recipe with Wholesome Grains Dry Dog Food, 15-lb",NutriSource,Lamb Meal & Rice Recipe with Wholesome Grains,Dogs,15-lb,No
757946201120,210000070092,Dog > Food > Dry Food,54.99,1,10100016_2,https://www.littlepetexpress.com/products/annamaet-grain-free-aqualuk-cold-water-formula-dry-dog-food/?case_option=False,Dry Food,"['downloaded_images/10100016/10100016_2/image_45690_LlzYt95.jpg', 'downloaded_images/10100016/10100016_2/image_45690_4oYT4R5.jpg', 'downloaded_images/10100016/10100016_2/image_45690_Thvvfq4.jpg', 'downloaded_images/10100016/10100016_2/image_45690_dniZWsT.jpg', 'downloaded_images/10100016/10100016_2/image_45690_dpHiyKa.jpg']",Annamaet,"Annamaet Aqualuk Cold Water Formula Grain-Free Dry Dog Food, 12-lb",Annamaet,Aqualuk Cold Water Formula Grain-Free,Dogs,12-lb,No
027795660035,210000026125,Dog > Cleaning & Potty > Deodorizers,23.99,2,10100549,https://www.littlepetexpress.com/products/the-little-pet-shoppe/naturvet-yard-odor-eliminator-plus-with-citronella-32-oz-bottle-1/,Deodorizers,['downloaded_images/10100549/image_26125_XiRHt7a.jpg'],NaturVet,"NaturVet Yard Odor Eliminator Plus Citronella Stool & Urine Deodorizer Spray, 32-oz",NaturVet,Yard Odor Eliminator Plus Citronella Stool & Urine Deodorizer Spray,Dogs,32-oz,No
878408004728,210000050712,Dog > Food > Wet Food,1.79,13,10100176_1,https://www.littlepetexpress.com/products/weruva-dogs-in-the-kitchen-the-double-dip-with-beef-wild-caught-salmon-au-jus-grain-free-dog-food-pouches-28-oz-case-of-12-2/?case_option=False,Wet Food,"['downloaded_images/10100176/10100176_1/image_50712.jpg', 'downloaded_images/10100176/10100176_1/image_50712_jb4V4re.jpg', 'downloaded_images/10100176/10100176_1/image_50712_ajz2Rmi.jpg']",Weruva,"Dogs in the Kitchen The Double Dip with Beef & Wild Caught Salmon Au Jus Wet Dog Food Pouch, 2.8-oz",Weruva,Dogs in the Kitchen The Double Dip with Beef & Wild Caught Salmon Au Jus,Dogs,2.8-oz,Yes
094922011824,210000048674,Dog > Food > Frozen Food,27.99,0,10100535_1,https://www.littlepetexpress.com/products/my-perfect-pet-snuggles-chicken-rice-frozen-dog-food/?case_option=False,Frozen Food,['downloaded_images/10100535/10100535_1/image_48674.jpeg'],My Perfect Pet,"My Perfect Pet Snuggles Chicken & Rice Blend Frozen Dog Food, 3.5-lb",My Perfect Pet,Snuggles Chicken & Rice Blend,Dogs,3.5-lb,No
627843113294,210000056815,Cat > Food > Air-Dried & Dehydrated Food,24.69,0,10100097_1,https://www.littlepetexpress.com/products/carna4-airdried-grain-free-quick-baked-chicken-cat-food-2/?case_option=False,Air-Dried & Dehydrated Food,['downloaded_images/10100097/10100097_1/image_56956.jpg'],Carna4,"Carna4 Quick Baked Chicken Nuggets Grain-Free Air-Dried Cat Food, 2-lb",Carna4,Quick Baked Chicken Nuggets Grain-Free,Cats,2-lb,No
