System ID,UPC,Name,Category Name,Product ID,URL,Category,Images,Brand,Short Name,Pets,Size,buy_12_get_1_free,Discount,Limit,Buy,Get
210000048216,094922011831,"My Perfect Pet Low Glycemic Chicken Blend Grain-Free Frozen Dog Food, 3.5-lb",Dog > Food > Frozen Food,10100527,https://www.littlepetexpress.com/products/the-little-pet-shoppe/my-perfect-pet-low-glycemic-blend-chicken-frozen-dog-food/,Frozen Food,['downloaded_images/10100527/image_48216.jpeg'],My Perfect Pet,Low Glycemic Chicken Blend Grain-Free,Dogs,3.5-lb,No,3,3,,
210000243326,691835226835,"My Perfect Pet Buddy's Glycemic Friendly Beef Grain-Free Frozen Dog Food, 4-lb",Dog > Food > Frozen Food,10100521_1,https://www.littlepetexpress.com/products/My-Perfect-Pet-Buddys-Glycemic-Friendly-Beef-Blend-Grain-Free-Frozen-Dog-Food-2/?case_option=False,Frozen Food,"['downloaded_images/10100521/10100521_1/image_249033.jpg', 'downloaded_images/10100521/10100521_1/image_249033_s5VE47n.jpg']",My Perfect Pet,Buddy's Glycemic Friendly Beef Grain-Free,Dogs,4-lb,No,3,3,,
210000048215,094922011848,"My Perfect Pet Low Glycemic Beef Blend Grain-Free Frozen Dog Food, 3.5-lb",Dog > Food > Frozen Food,10100526,https://www.littlepetexpress.com/products/the-little-pet-shoppe/my-perfect-pet-low-glycemic-blend-beef-frozen-dog-food/,Frozen Food,['downloaded_images/10100526/image_48215.jpeg'],My Perfect Pet,Low Glycemic Beef Blend Grain-Free,Dogs,3.5-lb,No,3,3,,
210000048217,748252273215,"My Perfect Pet Low Glycemic Turkey Blend Grain-Free Frozen Dog Food, 3.5-lb",Dog > Food > Frozen Food,10100528,https://www.littlepetexpress.com/products/the-little-pet-shoppe/my-perfect-pet-low-glycemic-blend-turkey-frozen-dog-food/,Frozen Food,['downloaded_images/10100528/image_48217.png'],My Perfect Pet,Low Glycemic Turkey Blend Grain-Free,Dogs,3.5-lb,No,3,3,,
210000243348,691835456539,"My Perfect Pet Tino’s Glycemic Friendly Turkey Grain-Free Frozen Dog Food, 4-lb",Dog > Food > Frozen Food,10100538_1,https://www.littlepetexpress.com/products/My-Perfect-Pet-Tinos-Glycemic-Friendly-Turkey-Grain-Free-Frozen-Dog-Food-2/?case_option=False,Frozen Food,"['downloaded_images/10100538/10100538_1/image_249055_hNZW5jm.jpg', 'downloaded_images/10100538/10100538_1/image_249055.jpg']",My Perfect Pet,Tino’s Glycemic Friendly Turkey Grain-Free,Dogs,4-lb,No,3,3,,
210000239447,087316311839,"Northwest Naturals Raw Rewards Chicken Hearts Frozen Dog & Cat Treats, 12-oz",Dog > Treats > Frozen Treat,10100593_1,https://www.littlepetexpress.com/products/Northwest-Naturals-Raw-Rewards-Chicken-Hearts-Frozen-Dog-Cat-Treats-2/?case_option=False,"Frozen Treats, Frozen Treat",['downloaded_images/10100593/10100593_1/image_245130.jpg'],Northwest Naturals,Raw Rewards Chicken Hearts Frozen,Dogs & Cats,12-oz,No,3,2,,
210000023172,066380004991,"Okocat Super Soft Clumping Wood Cat Litter, 11.2-lb",Cat > Litter & Accessories > Litter,10100646_1,https://www.littlepetexpress.com/products/okocat-super-soft-clumping-wood-cat-litter-1/?case_option=False,Litter,['downloaded_images/10100646/10100646_1/Okocat_Super_Soft_Clumping_Wood_Cat_Litter_11.2-lb.jpg'],Okocat,Super Soft Clumping Wood,Cats,11.2-lb box,No,3,,,
210000165164,860003498149,"LIX The Healer Organic SooTher Salve for Dogs, 100mg, 1-oz",Dog > Vitamins & Supplements,10100465_1,https://www.littlepetexpress.com/products/Lix-The-Healer-Organic-CBD-Soother-Salve-2/?case_option=False,Vitamins & Supplements,"['downloaded_images/10100465/10100465_1/image_167186_M8ruXkh.jpg', 'downloaded_images/10100465/10100465_1/image_167186_XXDOJ8b.jpg', 'downloaded_images/10100465/10100465_1/image_167186.jpg']",LIX,"The Healer Organic SooTher Salve for Dogs, 100mg",Dogs,1-oz,No,3,2,,
210000218742,066380005400,"Okocat Original Premium Natural Wood Clumping Cat Litter, 9.9-lb",Cat > Litter & Accessories > Litter,10100645_1,https://www.littlepetexpress.com/products/okocat-original-premium-natural-wood-clumping-cat-litter-99-lb/?case_option=False,Litter,['downloaded_images/10100645/10100645_1/image_224296.jpg'],Okocat,Original Premium Natural Wood Clumping,Cats,9.9-lb,No,3,,,
210000238051,066380009248,"Okocat Original Premium Natural Wood Clumping Cat Litter, 12.6-lb",Cat > Litter & Accessories > Litter,10100645_2,https://www.littlepetexpress.com/products/okocat-original-premium-natural-wood-clumping-cat-litter-126-lb/?case_option=False,Litter,['downloaded_images/10100645/10100645_2/image_243724.jpg'],Okocat,Original Premium Natural Wood Clumping,Cats,12.6-lb,No,3,,,
210000070902,066380003703,"Okocat Natural Wood Clumping Cat Litter, 13.2-lb",Cat > Litter & Accessories > Litter,10100644_1,https://www.littlepetexpress.com/products/okocat-natural-wood-clumping-cat-litter/?case_option=False,Litter,"['downloaded_images/10100644/10100644_1/image_23173_y7LhK4L.jpg', 'downloaded_images/10100644/10100644_1/image_23173_HUrYtJz.jpg', 'downloaded_images/10100644/10100644_1/image_23173_P4r5LCH.jpg', 'downloaded_images/10100644/10100644_1/image_23173_ityxtZp.jpg']",Okocat,Natural Wood Clumping,Cats,13.2-lb,No,3,,,
210000023170,066380005004,"Okocat Super Soft Clumping Wood Cat Litter, 16.7-lb",Cat > Litter & Accessories > Litter,10100646_2,https://www.littlepetexpress.com/products/okocat-super-soft-clumping-wood-cat-litter-3/?case_option=False,Litter,['downloaded_images/10100646/10100646_2/Okocat_Super_Soft_Clumping_Wood_Cat_Litter_16.7-lb.jpg'],Okocat,Super Soft Clumping Wood,Cats,16.7-lb,No,3,,,
210000199288,860007274626,"LIX The Healer Organic Soother Salve for Large Breed Pets, 300mg, 3-oz",Equine > Health & Wellness > Vitamins & Supplements,10100466_1,https://www.littlepetexpress.com/products/LIX-The-Healer-Organic-Soother-Salve-for-Large-Breed-Pets-300mg-2/?case_option=False,Vitamins & Supplements,"['downloaded_images/10100466/10100466_1/image_204604_wVsUaMR.jpg', 'downloaded_images/10100466/10100466_1/image_204604_oLMG4mE.jpg', 'downloaded_images/10100466/10100466_1/image_204604.jpg']",LIX,"The Healer Organic Soother Salve for Large Breed Pets, 300mg",Dogs,3-oz,No,3,2,,
210000236130,632634450021,"Ark Naturals Protection+ Brushless Toothpaste Dental Chew for Mini Dogs, 4-oz",Dog > Dental Care > Breath Fresheners & Teeth Cleaning > Toothpastes & Gels,10100027_1,https://www.littlepetexpress.com/products/Ark-Naturals-Protection-Brushless-Toothpaste-Dental-Chew-for-Mini-Dogs-2/?case_option=False,"Dental Chews, Toothpastes & Gels",['downloaded_images/10100027/10100027_1/image_241771.jpg'],Ark Naturals,Protection+ Brushless Toothpaste Mini,Dogs,4-oz,No,3,10,,
210000243328,691835227931,"My Perfect Pet Charlie's Glycemic Friendly Chicken Grain-Free Frozen Dog Food, 4-lb",Dog > Food > Frozen Food,10100522_1,https://www.littlepetexpress.com/products/My-Perfect-Pet-Charlies-Glycemic-Friendly-Chicken-Blend-Grain-Free-Frozen-Dog-Food-2/?case_option=False,Frozen Food,"['downloaded_images/10100522/10100522_1/image_249035.jpg', 'downloaded_images/10100522/10100522_1/image_249035_mad4BLH.jpg']",My Perfect Pet,Charlie's Glycemic Friendly Chicken Grain-Free,Dogs,4-lb,No,3,3,,
210000178787,747473767534,"West Paw Sailz Dog Toy, Emerald, Large",Dog > Toys > Fetch Toys > Discs,10100966_1,https://www.littlepetexpress.com/products/West-Paw-Sailz-Dog-Toy-Emerald-2/?case_option=False,Discs,['downloaded_images/10100966/10100966_1/image_183225.png'],West Paw,"Sailz, Emerald",Dogs,Large,No,2,,,
210000178789,747473767541,"West Paw Sailz Dog Toy, Hibiscus, Large",Dog > Toys > Fetch Toys > Discs,10100967_1,https://www.littlepetexpress.com/products/West-Paw-Sailz-Dog-Toy-Hibiscus-2/?case_option=False,Discs,['downloaded_images/10100967/10100967_1/image_183227.png'],West Paw,"Sailz, Hibiscus",Dogs,Large,No,2,,,
